,Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
38,Argentina,2022,Prepared Food,95954.55,90552.01000000001,120.92999999999999,650.97,56.1925
39,Argentina,2023,Bakery Items,55142.54,58423.149999999994,78.655,583.37,56.175
40,Argentina,2023,Beverages,87531.64,89289.01000000001,102.7425,617.6475,44.5475
41,Argentina,2023,Dairy Products,48008.92,41651.09,115.44,1140.21,45.33
42,Argentina,2023,Frozen Food,212185.97,203585.98,138.82857142857142,778.7942857142856,53.86714285714286
43,Argentina,2023,Fruits & Vegetables,105476.36,100715.89,165.17666666666668,476.68,62.78
44,Argentina,2023,Grains & Cereals,85280.44,79062.14,128.34666666666666,570.2983333333333,48.73500000000001
45,Argentina,2023,Meat & Seafood,54907.09,58228.41,133.245,772.045,49.72
46,Argentina,2023,Prepared Food,61597.05,67409.72,96.42333333333333,631.2733333333333,39.93666666666667
47,Argentina,2024,Bakery Items,94809.61,95032.87,104.35000000000001,866.1,48.34
48,Argentina,2024,Beverages,67166.35,69684.79000000001,64.76333333333334,437.58666666666664,57.03
49,Argentina,2024,Dairy Products,110644.7,110969.19,129.73,632.488,51.124
50,Argentina,2024,Frozen Food,115218.78,124328.69,161.5725,884.1899999999999,56.06
51,Argentina,2024,Fruits & Vegetables,198174.13,193948.51,90.08333333333333,767.0933333333334,42.498333333333335
52,Argentina,2024,Grains & Cereals,38883.36,38099.69,85.96999999999998,383.0466666666667,51.826666666666675
53,Argentina,2024,Meat & Seafood,1831.93,1767.05,77.49,549.05,59.9
54,Argentina,2024,Prepared Food,114227.67000000001,123365.01000000001,120.04833333333333,631.6250000000001,55.153333333333336
55,Australia,2018,Bakery Items,95903.67,106537.41,126.646,534.598,51.096
56,Australia,2018,Beverages,96993.9,93757.33,120.44666666666667,594.3166666666666,63.82333333333333
57,Australia,2018,Dairy Products,83618.48,79573.05,102.078,918.68,53.029999999999994
58,Australia,2018,Frozen Food,58764.19,66842.48,105.01666666666667,781.7033333333333,40.836666666666666
59,Australia,2018,Fruits & Vegetables,46369.45,50540.96000000001,78.8825,747.2325,53.06
60,Australia,2018,Meat & Seafood,19895.96,19570.19,112.61,1041.59,40.12
61,Australia,2018,Prepared Food,160687.14,151944.75,83.93625,923.385,53.25875
62,Australia,2019,Bakery Items,142391.05,150568.2,128.69,842.2166666666667,47.07333333333333
63,Australia,2019,Beverages,67587.59999999999,70588.43000000001,104.52666666666666,397.34999999999997,44.43666666666667
64,Australia,2019,Dairy Products,231541.22999999998,234557.5,77.45,500.15500000000003,42.965
65,Australia,2019,Frozen Food,117979.48,121286.59,84.9275,714.3475000000001,49.655
66,Australia,2019,Fruits & Vegetables,83972.75,84056.16,109.685,904.6375,38.805
67,Australia,2019,Grains & Cereals,46084.340000000004,50582.93,92.93,637.2866666666667,44.18666666666667
68,Australia,2019,Meat & Seafood,88524.43,86723.23999999999,100.47749999999999,737.6425,47.835
69,Australia,2019,Prepared Food,167271.25,166527.68,105.545,483.31,39.44
70,Australia,2020,Bakery Items,18268.34,19207.28,80.37,118.97,30.59
71,Australia,2020,Beverages,64489.38,57357.26,86.795,782.7750000000001,55.295
72,Australia,2020,Dairy Products,103444.71,93996.36,107.065,718.345,46.505
73,Australia,2020,Frozen Food,59602.72,54488.58,154.42333333333332,571.2966666666666,52.70333333333334
74,Australia,2020,Fruits & Vegetables,167123.31,163815.79,106.20857142857143,574.7042857142857,42.035714285714285
75,Australia,2020,Grains & Cereals,77386.87,75165.37,47.355,689.165,49.39
76,Australia,2020,Meat & Seafood,107055.20999999999,120370.04999999999,105.41333333333334,772.3533333333334,51.85333333333333
77,Australia,2020,Prepared Food,148794.16999999998,144501.28999999998,56.70857142857143,715.5714285714286,54.03857142857142
78,Australia,2021,Bakery Items,61066.61,57886.62,81.45333333333333,572.4933333333333,46.97666666666667
79,Australia,2021,Beverages,144985.46,150391.87,129.49,632.2642857142857,54.36
80,Australia,2021,Dairy Products,72794.37,77040.98999999999,122.35333333333335,852.9733333333334,45.60999999999999
81,Australia,2021,Frozen Food,118752.96,133763.87,76.90599999999999,728.716,53.67
82,Australia,2021,Fruits & Vegetables,30574.33,27319.36,101.88,688.73,32.59
83,Australia,2021,Grains & Cereals,314812.91,317423.16000000003,117.31363636363636,561.7081818181819,50.77272727272727
84,Australia,2021,Meat & Seafood,144510.14,148908.28,96.7225,614.3475,43.95625
85,Australia,2021,Prepared Food,37483.6,30340.62,35.06,43.3,58.42
86,Australia,2022,Beverages,85747.16,86078.43,119.02666666666669,1000.6733333333332,43.11333333333334
87,Australia,2022,Dairy Products,86803.03,84040.22,100.91333333333334,1016.0633333333332,48.94333333333333
88,Australia,2022,Frozen Food,172444.05,172927.65,140.25,675.5400000000001,42.244
89,Australia,2022,Fruits & Vegetables,183121.68,176190.86,131.40333333333334,692.3166666666667,47.535
90,Australia,2022,Grains & Cereals,166082.2,171223.64,136.74166666666665,858.5583333333334,52.07333333333333
91,Australia,2022,Meat & Seafood,67996.72,59114.25,115.715,593.72,59.78
92,Australia,2022,Prepared Food,38096.82,33295.01,118.005,592.7,55.42
93,Australia,2023,Bakery Items,230027.08,237218.69999999998,107.33,696.1377777777777,47.66555555555556
94,Australia,2023,Beverages,47104.67,51998.71,50.77666666666667,945.4033333333333,46.68666666666667
95,Australia,2023,Dairy Products,209546.3,212476.17,137.18285714285713,698.59,56.32285714285714
96,Australia,2023,Frozen Food,122476.94,136437.96,102.5625,676.645,52.01
97,Australia,2023,Fruits & Vegetables,193444.41999999998,208855.83,128.39833333333334,608.485,46.57833333333334
98,Australia,2023,Grains & Cereals,78755.6,75400.81,164.41333333333333,1089.82,55.73
99,Australia,2023,Meat & Seafood,138473.36000000002,140045.49,122.826,831.434,56.39399999999999
100,Australia,2023,Prepared Food,29185.61,31074.12,81.1,74.035,65.825
101,Australia,2024,Bakery Items,244612.48,241455.65999999997,132.95625,856.355,40.339999999999996
102,Australia,2024,Beverages,82267.70999999999,81196.69,120.75666666666666,641.0566666666667,42.15
103,Australia,2024,Dairy Products,7143.71,7952.53,27.61,88.75,54.41
104,Australia,2024,Frozen Food,55894.94,56943.15,76.535,824.815,47.845
105,Australia,2024,Fruits & Vegetables,134092.51,126743.57,128.7275,691.8,36.190000000000005
106,Australia,2024,Grains & Cereals,94654.13,95310.39,129.9225,528.3325,45.5625
107,Australia,2024,Meat & Seafood,24658.77,21150.24,190.65,987.02,55.65
108,Australia,2024,Prepared Food,216001.39,215025.38,102.30333333333334,478.8866666666666,46.711666666666666
109,Brazil,2018,Bakery Items,162240.28,165643.33000000002,119.69833333333332,586.5166666666667,56.52666666666667
110,Brazil,2018,Beverages,211905.79,213238.16999999998,111.27166666666666,527.515,48.41
111,Brazil,2018,Dairy Products,39923.68,37046.98,85.06,460.56,43.555
112,Brazil,2018,Frozen Food,168644.86,176564.01,132.24428571428572,618.7014285714286,40.01857142857143
113,Brazil,2018,Fruits & Vegetables,174221.66999999998,174939.56,113.01571428571428,856.8571428571429,49.38285714285714
114,Brazil,2018,Grains & Cereals,64802.770000000004,57231.92999999999,77.3125,667.3025,53.059999999999995
115,Brazil,2018,Meat & Seafood,42940.75,35290.62,61.88,173.96,64.02
116,Brazil,2018,Prepared Food,167994.24,164692.99,113.76142857142857,551.1985714285714,50.222857142857144
117,Brazil,2019,Bakery Items,156671.76,163872.16,90.67,739.3957142857143,46.97428571428571
118,Brazil,2019,Beverages,155816.11,158465.26,113.73714285714286,681.5485714285714,50.58142857142857
119,Brazil,2019,Dairy Products,118884.21,119592.95,100.612,800.7639999999999,51.96
120,Brazil,2019,Frozen Food,80003.13,76809.75,124.79666666666667,614.55,42.443333333333335
121,Brazil,2019,Fruits & Vegetables,165059.13,168532.44,156.39333333333332,732.5500000000001,53.303333333333335
122,Brazil,2019,Grains & Cereals,131522.15,121073.61,88.93166666666667,710.6333333333333,53.64000000000001
123,Brazil,2019,Meat & Seafood,54273.979999999996,45941.270000000004,125.685,320.155,56.13
124,Brazil,2019,Prepared Food,95698.55,87385.09,79.7,754.5766666666667,58.61666666666667
125,Brazil,2020,Bakery Items,102165.76000000001,92981.77,142.42,984.1666666666666,56.51333333333333
126,Brazil,2020,Beverages,159399.28999999998,160251.39,87.52499999999999,936.8683333333333,57.85166666666667
127,Brazil,2020,Dairy Products,77513.4,79813.94,110.72666666666667,665.4333333333334,52.326666666666675
128,Brazil,2020,Frozen Food,93389.25,91545.92,90.1425,655.655,48.915
129,Brazil,2020,Fruits & Vegetables,11292.43,13364.789999999999,39.99,182.48999999999998,49.08
130,Brazil,2020,Grains & Cereals,142147.46,142818.23,96.574,665.698,53.65
131,Brazil,2020,Meat & Seafood,134432.94999999998,128046.13,121.19,932.9133333333334,47.69833333333333
132,Brazil,2020,Prepared Food,193271.75,181390.52,134.29666666666665,995.9683333333332,50.125
133,Brazil,2021,Bakery Items,25152.55,25804.6,105.165,978.3399999999999,47.89
134,Brazil,2021,Beverages,79908.22,82642.03,87.16499999999999,918.835,51.1275
135,Brazil,2021,Dairy Products,58879.13,62096.49,113.69749999999999,577.16,60.32000000000001
136,Brazil,2021,Frozen Food,94176.47,97379.92,103.244,381.656,41.132
137,Brazil,2021,Fruits & Vegetables,120081.09999999999,122754.75,111.65666666666665,644.1516666666666,43.11166666666667
138,Brazil,2021,Grains & Cereals,55847.340000000004,58982.62,137.91,629.6533333333333,45.75
139,Brazil,2021,Meat & Seafood,77144.42,80856.1,82.88666666666667,514.6333333333333,62.120000000000005
140,Brazil,2021,Prepared Food,203170.35,205729.11,101.34875,564.0812500000001,54.33125
141,Brazil,2022,Bakery Items,154292.18,156433.63,61.36833333333334,950.1566666666668,48.156666666666666
142,Brazil,2022,Beverages,27497.52,22111.98,63.61,648.04,47.3
143,Brazil,2022,Dairy Products,40372.39,39995.11,158.64000000000001,641.8566666666667,45.78
144,Brazil,2022,Frozen Food,76992.86,70131.4,88.905,252.47,48.9775
145,Brazil,2022,Fruits & Vegetables,188882.75,185614.71,90.84571428571428,603.1371428571429,51.67857142857143
146,Brazil,2022,Meat & Seafood,50648.75,43066.700000000004,69.96,651.6666666666666,58.20333333333334
147,Brazil,2022,Prepared Food,149172.84,138502.01,125.228,1101.2959999999998,48.402
148,Brazil,2023,Bakery Items,37221.49,33975.63,125.58500000000001,802.585,55.33
149,Brazil,2023,Beverages,25255.87,29351.15,160.37,643.73,36.61
150,Brazil,2023,Dairy Products,220704.9,232813.03,103.78666666666668,726.901111111111,54.294444444444444
151,Brazil,2023,Frozen Food,160180.5,148910.66,147.196,613.018,52.644000000000005
152,Brazil,2023,Fruits & Vegetables,100830.29,92490.95,124.136,810.054,52.266000000000005
153,Brazil,2023,Grains & Cereals,154557.64,147536.69,121.64666666666666,734.62,47.678333333333335
154,Brazil,2023,Meat & Seafood,253631.59000000003,252085.96,124.78399999999999,775.577,47.831
155,Brazil,2023,Prepared Food,188933.25,181640.04,114.30999999999999,614.4142857142858,45.86857142857143
156,Brazil,2024,Bakery Items,165447.0,161870.4,80.43333333333334,528.9866666666667,50.949999999999996
157,Brazil,2024,Beverages,92742.58,82446.91,121.44999999999999,309.15999999999997,46.22
158,Brazil,2024,Dairy Products,122350.42,129774.67000000001,122.78600000000002,850.202,55.653999999999996
159,Brazil,2024,Frozen Food,60961.87,62080.740000000005,100.755,821.555,51.31
160,Brazil,2024,Fruits & Vegetables,43306.520000000004,42623.98,96.545,949.91,52.17
161,Brazil,2024,Grains & Cereals,218808.88,205131.38,82.82875,703.6925,47.6775
162,Brazil,2024,Meat & Seafood,39310.08,41690.59,89.95333333333333,801.9666666666667,50.45666666666667
163,Brazil,2024,Prepared Food,201075.4,202535.44,112.88,627.5685714285715,43.98857142857143
164,Canada,2018,Bakery Items,88856.93000000001,91594.13,124.37750000000001,619.5575,65.0925
165,Canada,2018,Beverages,142220.41,137536.58000000002,120.18571428571428,583.6971428571429,47.15857142857143
166,Canada,2018,Dairy Products,129704.83,141938.03,82.89,496.74333333333334,52.19333333333333
167,Canada,2018,Frozen Food,62567.23,65292.9,94.39,782.698,41.54
168,Canada,2018,Fruits & Vegetables,66186.91,72578.68,141.96,1169.9333333333334,46.93333333333334
169,Canada,2018,Grains & Cereals,111767.33,104883.01000000001,146.37,703.89,46.656666666666666
170,Canada,2018,Meat & Seafood,109671.72,110701.24,156.59,514.142,49.992000000000004
171,Canada,2018,Prepared Food,91848.9,105359.41,147.39,621.7525,46.93
172,Canada,2019,Bakery Items,241320.86,252846.22,122.9042857142857,715.3614285714285,47.19714285714286
173,Canada,2019,Beverages,124630.01999999999,130883.42000000001,104.16499999999999,773.445,50.7525
174,Canada,2019,Dairy Products,183202.7,183696.07,119.8125,629.9449999999999,52.692499999999995
175,Canada,2019,Frozen Food,105914.19,104822.22,91.038,756.356,45.624
176,Canada,2019,Fruits & Vegetables,67148.32,74466.72,63.336666666666666,277.56,49.36666666666667
177,Canada,2019,Grains & Cereals,89513.81999999999,91293.97,67.1675,656.5799999999999,47.5725
178,Canada,2019,Meat & Seafood,259323.1,242215.93,109.39,708.47,47.400000000000006
179,Canada,2019,Prepared Food,81639.57,83339.26999999999,77.94,495.98,50.39333333333334
180,Canada,2020,Bakery Items,219031.66,232915.43,94.94624999999999,589.67875,48.19875
181,Canada,2020,Beverages,98986.66,98447.45999999999,95.05833333333334,970.125,48.05166666666667
182,Canada,2020,Dairy Products,120495.8,102924.23999999999,110.38,724.6066666666666,47.74333333333334
183,Canada,2020,Frozen Food,117987.12,108615.56,113.4675,533.9875,52.067499999999995
184,Canada,2020,Fruits & Vegetables,125499.94,133723.5,125.638,733.068,48.158
185,Canada,2020,Grains & Cereals,89821.15,100872.13,113.66000000000001,780.9666666666667,53.620000000000005
186,Canada,2020,Meat & Seafood,95990.07,99288.65000000001,86.22999999999999,702.854,51.33
187,Canada,2020,Prepared Food,35819.56,30828.870000000003,163.41,674.685,52.965
188,Canada,2021,Bakery Items,145407.59,135764.96,128.93400000000003,1080.194,47.292
189,Canada,2021,Beverages,215092.94,205301.41,131.53125,614.47,46.926249999999996
190,Canada,2021,Dairy Products,207100.58,213802.45,124.4525,1027.81375,59.39875
191,Canada,2021,Frozen Food,83387.72,89460.86,169.9075,858.1575,42.765
192,Canada,2021,Fruits & Vegetables,115487.76,110756.09,102.495,716.6625,40.4725
193,Canada,2021,Grains & Cereals,49473.31,39922.89,159.66500000000002,755.255,55.019999999999996
194,Canada,2021,Meat & Seafood,136415.49,145994.82,66.2625,684.8325,38.22
195,Canada,2021,Prepared Food,256591.8,262488.95,73.1525,618.76,53.235
196,Canada,2022,Bakery Items,179130.24,165974.4,74.272,655.672,57.294
197,Canada,2022,Beverages,98688.4,93675.83,130.60500000000002,1202.855,46.3575
198,Canada,2022,Dairy Products,213257.36000000002,218500.37,131.59875,545.8975,43.14125
199,Canada,2022,Frozen Food,43843.520000000004,43598.67,60.96,235.185,33.480000000000004
200,Canada,2022,Fruits & Vegetables,88827.02,95799.88,87.95,996.4475,52.355000000000004
201,Canada,2022,Grains & Cereals,101927.35,101367.01000000001,88.10333333333334,1083.5800000000002,45.120000000000005
202,Canada,2022,Meat & Seafood,88283.37,79456.20999999999,120.66,500.85,37.745
203,Canada,2022,Prepared Food,65734.93,58476.54,101.40666666666668,488.37999999999994,53.59666666666667
204,Canada,2023,Bakery Items,159332.57,161115.48,161.29250000000002,345.72,48.129999999999995
205,Canada,2023,Beverages,69394.85,67498.02,114.4375,730.2574999999999,54.457499999999996
206,Canada,2023,Dairy Products,46331.75,44641.149999999994,130.66,1045.0066666666667,57.776666666666664
207,Canada,2023,Frozen Food,16258.94,18307.93,153.10500000000002,668.245,47.225
208,Canada,2023,Fruits & Vegetables,79498.27,89345.53,92.58,734.8075,53.985
209,Canada,2023,Grains & Cereals,169073.22,164643.57,85.88333333333333,813.6233333333333,48.336666666666666
210,Canada,2023,Meat & Seafood,136394.45,135106.1,105.03833333333334,635.1283333333333,50.335
211,Canada,2023,Prepared Food,182321.67,181380.03,109.68833333333333,1044.7833333333333,46.24166666666667
212,Canada,2024,Bakery Items,112038.29000000001,109357.05,112.77,779.5016666666667,46.68833333333333
213,Canada,2024,Beverages,50925.17,50110.92,47.875,762.1400000000001,50.015
214,Canada,2024,Dairy Products,205440.25,212568.75,61.69857142857143,699.5357142857143,51.93285714285714
215,Canada,2024,Frozen Food,78831.20999999999,82545.94,113.38666666666667,905.3366666666667,60.00666666666667
216,Canada,2024,Fruits & Vegetables,120383.06999999999,119978.03,116.34,700.26,45.792500000000004
217,Canada,2024,Grains & Cereals,128751.94,123544.90000000001,107.21599999999998,575.836,48.510000000000005
218,Canada,2024,Meat & Seafood,192174.96,184649.97999999998,139.14714285714285,1014.6785714285714,51.08857142857143
219,Canada,2024,Prepared Food,95729.7,87702.79999999999,142.18333333333334,579.3266666666667,40.74333333333333
220,China,2018,Bakery Items,135329.72,142001.65,126.59714285714287,734.2528571428572,52.53142857142858
221,China,2018,Beverages,4266.6,4843.21,110.29,1296.09,39.76
222,China,2018,Dairy Products,162501.4,154268.91999999998,59.504999999999995,889.1916666666666,58.72833333333333
223,China,2018,Frozen Food,93715.31999999999,87992.34999999999,92.194,726.448,45.614
224,China,2018,Fruits & Vegetables,222572.13999999998,229772.13999999998,116.74571428571429,634.3299999999999,56.86142857142857
225,China,2018,Grains & Cereals,308836.36,301737.03,105.04375,841.4475,53.28875
226,China,2018,Meat & Seafood,149199.65,139122.21,123.16142857142857,656.4785714285715,47.00714285714286
227,China,2018,Prepared Food,78316.31,75293.28,127.21666666666665,1090.4633333333334,50.95666666666667
228,China,2019,Bakery Items,136534.97,149314.13,129.78,662.7760000000001,52.302
229,China,2019,Beverages,23809.33,25022.87,62.32,1104.05,53.38
230,China,2019,Dairy Products,60307.13,58811.92,151.8166666666667,744.3433333333334,51.22666666666667
231,China,2019,Frozen Food,77356.64,83592.37,116.12333333333333,944.65,42.52333333333333
232,China,2019,Fruits & Vegetables,42595.66,43137.65,91.36333333333334,1229.4333333333334,51.663333333333334
233,China,2019,Grains & Cereals,108587.32,121079.63,126.9475,534.2625,52.045
234,China,2019,Meat & Seafood,74201.92,78893.4,81.4625,310.1325,56.7725
235,China,2019,Prepared Food,199477.12,199591.95,126.96999999999998,963.4033333333333,50.27666666666667
236,China,2020,Bakery Items,146503.41,135069.59,148.275,549.0616666666666,45.20166666666666
237,China,2020,Beverages,105615.09,109247.11,111.43800000000002,724.866,61.92999999999999
238,China,2020,Dairy Products,185287.09,177159.2,143.95428571428573,806.7142857142857,52.58857142857143
239,China,2020,Frozen Food,204593.13,196418.56,81.05833333333334,627.0616666666666,55.465
240,China,2020,Fruits & Vegetables,77056.81,87682.78,133.285,429.45166666666665,48.91166666666667
241,China,2020,Grains & Cereals,178548.64,186919.5,126.37666666666667,894.19,48.55833333333334
242,China,2020,Meat & Seafood,123412.85999999999,138022.53,129.56,770.886,45.036
243,China,2020,Prepared Food,90503.23,91884.23000000001,56.173333333333325,864.4616666666667,45.21666666666666
244,China,2021,Bakery Items,48313.86,44519.74999999999,90.72666666666667,884.6433333333333,38.18333333333333
245,China,2021,Beverages,167502.89,181032.05,102.272,1093.6219999999998,48.626
246,China,2021,Dairy Products,119552.19,116677.2,118.16,966.815,53.2775
247,China,2021,Frozen Food,102763.95,99629.35,126.37,894.785,53.8575
248,China,2021,Fruits & Vegetables,144489.13999999998,145996.1,119.292,682.734,50.68
249,China,2021,Grains & Cereals,119630.59999999999,113748.92,127.66571428571429,712.1457142857143,53.71142857142858
250,China,2021,Meat & Seafood,207602.87,231085.0,102.81727272727272,620.4136363636363,54.06909090909091
251,China,2021,Prepared Food,145480.28,147156.2,91.25625,792.0575,51.37625
252,China,2022,Bakery Items,71547.7,74791.15999999999,101.296,1101.572,45.876
253,China,2022,Beverages,150369.55,154894.08000000002,125.17,643.9816666666667,53.836666666666666
254,China,2022,Dairy Products,102398.86,102120.48000000001,61.45333333333334,683.9466666666667,43.85666666666666
255,China,2022,Frozen Food,63374.31999999999,71451.61,111.41,394.985,54.335
256,China,2022,Fruits & Vegetables,139203.06,147288.16,84.332,660.908,50.444
257,China,2022,Grains & Cereals,16867.83,19455.59,124.35,214.15,45.91
258,China,2022,Meat & Seafood,81195.7,91059.34,69.42,748.5699999999999,45.67
259,China,2022,Prepared Food,65382.44,61776.149999999994,134.18,648.38,58.665000000000006
260,China,2023,Bakery Items,97918.69,98568.63,121.476,766.544,52.17999999999999
261,China,2023,Beverages,82040.67,93456.61,142.4675,684.455,55.6125
262,China,2023,Dairy Products,29274.27,32530.11,131.41,472.82,52.1
263,China,2023,Frozen Food,120919.87000000001,120374.49,113.648,761.228,41.422000000000004
264,China,2023,Fruits & Vegetables,42453.75,38925.41,67.275,1357.49,42.265
265,China,2023,Grains & Cereals,114012.16,113477.69,95.25999999999999,739.5233333333332,40.67666666666667
266,China,2023,Meat & Seafood,141926.88,137662.85,144.02166666666668,563.295,42.29333333333333
267,China,2023,Prepared Food,87559.83,89191.56999999999,101.465,537.845,51.332499999999996
268,China,2024,Bakery Items,82824.21,80508.21,63.919999999999995,1031.43,56.553333333333335
269,China,2024,Beverages,83865.62,84753.08,54.67,875.3299999999999,45.8
270,China,2024,Dairy Products,206861.61000000002,211352.47,132.7475,510.77875,41.0175
271,China,2024,Frozen Food,260181.75999999998,256968.34,109.835,495.14,44.92100000000001
272,China,2024,Fruits & Vegetables,55867.81,61781.380000000005,144.79333333333332,739.1966666666666,45.04666666666666
273,China,2024,Grains & Cereals,8868.1,9640.64,107.74,668.52,54.3
274,China,2024,Meat & Seafood,130812.56999999999,133823.41999999998,94.462,431.712,51.074
275,China,2024,Prepared Food,130905.29000000001,138249.31,120.27799999999999,686.846,45.114
276,France,2018,Bakery Items,130065.72,133427.24,114.72428571428573,731.7942857142856,47.82714285714286
277,France,2018,Beverages,178972.91999999998,168593.74,89.64125,928.04625,48.61625
278,France,2018,Dairy Products,160063.48,139702.1,121.50333333333333,554.6683333333334,49.705000000000005
279,France,2018,Frozen Food,231452.77000000002,220617.94,107.64571428571428,655.6928571428572,41.27285714285715
280,France,2018,Fruits & Vegetables,14882.01,15521.99,141.67000000000002,789.99,59.035
281,France,2018,Grains & Cereals,40195.880000000005,38435.009999999995,98.16499999999999,1230.21,66.59
282,France,2018,Meat & Seafood,29641.32,30420.81,178.31,153.55,60.79
283,France,2018,Prepared Food,119971.1,121310.9,145.842,673.766,50.007999999999996
284,France,2019,Bakery Items,46493.22,52602.35,57.27,233.64,61.29
285,France,2019,Beverages,82937.83,74741.91,114.9375,313.58500000000004,52.192499999999995
286,France,2019,Dairy Products,87381.32,83297.29999999999,83.005,1013.095,49.0
287,France,2019,Frozen Food,35394.14,33417.83,73.87,876.52,49.58
288,France,2019,Fruits & Vegetables,114998.35,101218.69,84.72,402.4125,38.68
289,France,2019,Grains & Cereals,65851.32,67997.19,144.49,745.905,47.925
290,France,2019,Meat & Seafood,114587.89,111541.14,126.5,799.476,46.758
291,France,2020,Bakery Items,78579.73,80575.42,85.605,567.8375,51.595
292,France,2020,Beverages,236799.24,237369.99,100.49875,831.2737500000001,42.988749999999996
293,France,2020,Dairy Products,146803.34,146558.08000000002,133.09,692.9285714285714,50.855714285714285
294,France,2020,Frozen Food,128903.91,124641.51,118.24666666666667,668.8533333333334,45.53666666666667
295,France,2020,Fruits & Vegetables,28725.870000000003,28008.39,155.07,580.335,47.065
296,France,2020,Grains & Cereals,142183.29,138587.07,108.10833333333333,661.7766666666668,48.68833333333333
297,France,2020,Meat & Seafood,223584.75,221466.51,139.50571428571428,468.26714285714286,49.17285714285715
298,France,2020,Prepared Food,90934.8,86753.64,113.88,573.6550000000001,61.14
299,France,2021,Bakery Items,73005.29000000001,72632.63,97.985,486.015,45.57
300,France,2021,Beverages,91871.7,99444.6,102.05,723.885,47.6575
301,France,2021,Dairy Products,95328.48999999999,89623.08,155.34666666666666,907.3833333333333,58.089999999999996
302,France,2021,Frozen Food,158235.97,166204.69,102.79,614.21,54.784000000000006
303,France,2021,Fruits & Vegetables,117435.53,112397.57,52.9025,488.435,56.2725
304,France,2021,Grains & Cereals,129989.54000000001,121520.98,130.60333333333332,565.385,38.365
